Method|Description
find|Finds the image in the current screen and returns a list of matches or None if no match was found.
find_text|Finds the text in the current screen and returns a list of matches or None if no match was found. (not reliable due to OCR)
click|Left Click on the given match, previously found with the find method or manually created by coordinates.
right_click|Right Click on the given match, previously found with the find method or manually created by coordinates.
double_click|Double Left Click on the given match, previously found with the find method or manually created by coordinates.
drag_and_drop|Drags the source match to the target match.
press_keys|Presses the given key or keys
idle|Idles the experiment for the given amount of time.
exec_command|Executes the given command in the shell.
run_test|Runs the test with the given name.
run_tests|Runs a list of tests with the given names.
error|Logs an error message with the given name and message.
save_variable|Saves the given value under the given name in the variables file.
save_time|"Saves the current timestamp under the given name in the variables file.

"
wait_until|Waits until a specified condition becomes true or times out. Supports text/image targets and boolean logic (all/any/negate).